,customer_id,Recency,Frequency,MonetaryValue,label_kmeans5
0,CS1112,63,15,1012,Kelas B
1,CS1113,37,20,1490,Kelas B
2,CS1114,34,19,1432,Kelas B
3,CS1115,12,22,1659,Kelas A
4,CS1116,205,13,857,Kelas E
5,CS1117,259,17,1185,Kelas C
6,CS1118,3,15,1011,Kelas B
7,CS1119,12,15,1158,Kelas B
8,CS1120,11,24,1677,Kelas A
9,CS1121,43,26,1524,Kelas A
10,CS1122,44,16,1156,Kelas B
11,CS1123,111,19,1331,Kelas C
12,CS1124,75,18,1127,Kelas B
13,CS1125,27,12,885,Kelas D
14,CS1126,181,19,1165,Kelas C
15,CS1127,41,24,1676,Kelas A
16,CS1128,77,26,1921,Kelas A
17,CS1129,108,12,853,Kelas D
18,CS1130,4,19,1185,Kelas B
19,CS1131,22,14,998,Kelas D
20,CS1132,29,16,1074,Kelas B
21,CS1133,25,19,1413,Kelas B
22,CS1134,111,16,1166,Kelas C
23,CS1135,337,20,1267,Kelas C
24,CS1136,29,20,1339,Kelas B
25,CS1137,57,20,1380,Kelas B
26,CS1138,14,24,1863,Kelas A
27,CS1139,113,18,1245,Kelas C
28,CS1140,30,19,1353,Kelas B
29,CS1141,55,25,1778,Kelas A
30,CS1142,163,22,1847,Kelas C
31,CS1143,214,16,1255,Kelas C
32,CS1144,158,18,1222,Kelas C
33,CS1145,144,27,1967,Kelas A
34,CS1146,8,16,1117,Kelas B
35,CS1147,5,15,1004,Kelas B
36,CS1148,85,25,1733,Kelas A
37,CS1149,16,25,1768,Kelas A
38,CS1150,91,14,1075,Kelas D
39,CS1151,28,16,1040,Kelas B
40,CS1152,7,20,1457,Kelas B
41,CS1153,36,18,1274,Kelas B
42,CS1154,1,23,1436,Kelas A
43,CS1155,128,19,1317,Kelas C
44,CS1156,10,20,1445,Kelas B
45,CS1157,21,21,1427,Kelas B
46,CS1158,104,18,1159,Kelas C
47,CS1159,38,22,1439,Kelas B
48,CS1160,46,20,1380,Kelas B
49,CS1161,5,22,1389,Kelas B
50,CS1162,21,24,1815,Kelas A
51,CS1163,40,18,1290,Kelas B
52,CS1164,19,26,2037,Kelas A
53,CS1165,96,20,1335,Kelas B
54,CS1166,100,19,1507,Kelas C
55,CS1167,121,16,1132,Kelas C
56,CS1168,113,14,916,Kelas D
57,CS1169,88,18,1175,Kelas B
58,CS1170,4,18,1272,Kelas B
59,CS1171,2,22,1555,Kelas A
60,CS1172,260,18,1306,Kelas C
61,CS1173,51,21,1429,Kelas B
62,CS1174,25,23,1554,Kelas A
63,CS1175,54,17,1106,Kelas B
64,CS1176,31,17,1314,Kelas B
65,CS1177,40,17,1310,Kelas B
66,CS1178,33,22,1535,Kelas A
67,CS1179,48,29,2091,Kelas A
68,CS1180,56,23,1637,Kelas A
69,CS1181,59,27,1893,Kelas A
70,CS1182,104,24,1749,Kelas A
71,CS1183,13,26,1967,Kelas A
72,CS1184,1,28,1999,Kelas A
73,CS1185,12,27,1801,Kelas A
74,CS1186,54,19,1439,Kelas B
75,CS1187,24,22,1559,Kelas A
76,CS1188,5,16,1010,Kelas B
77,CS1189,65,23,1564,Kelas A
78,CS1190,42,18,1324,Kelas B
79,CS1191,68,21,1522,Kelas B
80,CS1192,40,18,1313,Kelas B
81,CS1193,285,15,953,Kelas E
82,CS1194,10,22,1505,Kelas A
83,CS1195,22,20,1378,Kelas B
84,CS1196,2,23,1559,Kelas A
85,CS1197,163,17,1180,Kelas C
86,CS1198,12,22,1571,Kelas A
87,CS1199,126,20,1344,Kelas C
88,CS1200,172,21,1667,Kelas C
89,CS1201,54,19,1375,Kelas B
90,CS1202,56,20,1331,Kelas B
91,CS1203,50,21,1536,Kelas B
92,CS1204,49,17,1023,Kelas B
93,CS1205,4,17,1103,Kelas B
94,CS1206,159,24,1514,Kelas C
95,CS1207,41,18,1310,Kelas B
96,CS1208,37,15,1000,Kelas B
97,CS1209,3,27,1809,Kelas A
98,CS1210,100,21,1546,Kelas C
99,CS1211,59,18,1218,Kelas B
100,CS1212,160,17,1200,Kelas C
101,CS1213,129,18,1191,Kelas C
102,CS1214,8,19,1289,Kelas B
103,CS1215,135,34,2288,Kelas A
104,CS1216,141,24,1798,Kelas A
105,CS1217,79,20,1431,Kelas B
106,CS1218,39,24,1687,Kelas A
107,CS1219,5,21,1447,Kelas B
108,CS1220,22,9,720,Kelas D
109,CS1221,165,19,1372,Kelas C
110,CS1222,47,21,1585,Kelas A
111,CS1223,55,17,1299,Kelas B
112,CS1224,117,8,578,Kelas D
113,CS1225,49,17,999,Kelas B
114,CS1226,56,18,1213,Kelas B
115,CS1227,27,27,1783,Kelas A
116,CS1228,48,19,1368,Kelas B
117,CS1229,29,19,1194,Kelas B
118,CS1230,6,20,1415,Kelas B
119,CS1231,156,23,1750,Kelas C
120,CS1232,97,20,1452,Kelas B
121,CS1233,117,21,1374,Kelas C
122,CS1234,5,21,1349,Kelas B
123,CS1235,143,22,1507,Kelas C
124,CS1236,44,22,1668,Kelas A
125,CS1237,202,24,1823,Kelas C
126,CS1238,22,26,1808,Kelas A
127,CS1239,254,11,771,Kelas E
128,CS1240,4,30,2126,Kelas A
129,CS1241,30,27,1818,Kelas A
130,CS1242,61,13,943,Kelas D
131,CS1243,40,16,1030,Kelas B
132,CS1244,143,21,1492,Kelas C
133,CS1245,74,19,1321,Kelas B
134,CS1246,297,20,1431,Kelas C
135,CS1247,30,28,1773,Kelas A
136,CS1248,10,17,1172,Kelas B
137,CS1249,91,23,1846,Kelas A
138,CS1250,13,24,1625,Kelas A
139,CS1251,3,14,1035,Kelas B
140,CS1252,109,18,1411,Kelas C
141,CS1253,76,17,1399,Kelas B
142,CS1254,4,21,1599,Kelas A
143,CS1255,69,29,1998,Kelas A
144,CS1256,215,19,1304,Kelas C
145,CS1257,27,15,1050,Kelas B
146,CS1258,27,22,1458,Kelas B
147,CS1259,170,22,1679,Kelas C
148,CS1260,148,26,1941,Kelas A
149,CS1261,89,26,1943,Kelas A
150,CS1262,86,16,1040,Kelas B
151,CS1263,4,14,1096,Kelas B
152,CS1264,4,12,959,Kelas D
153,CS1265,53,14,1128,Kelas B
154,CS1266,41,15,1076,Kelas B
155,CS1267,112,26,1812,Kelas A
156,CS1268,67,27,1946,Kelas A
157,CS1269,70,19,1272,Kelas B
158,CS1270,29,27,1990,Kelas A
159,CS1271,37,25,1683,Kelas A
160,CS1272,19,19,1279,Kelas B
161,CS1273,29,25,1800,Kelas A
162,CS1274,6,20,1381,Kelas B
163,CS1275,1,18,1321,Kelas B
164,CS1276,29,21,1505,Kelas B
165,CS1277,90,17,1142,Kelas B
166,CS1278,111,22,1572,Kelas A
167,CS1279,49,21,1411,Kelas B
168,CS1280,14,21,1262,Kelas B
169,CS1281,13,23,1715,Kelas A
170,CS1282,134,15,1014,Kelas C
171,CS1283,21,22,1683,Kelas A
172,CS1284,6,24,1836,Kelas A
173,CS1285,27,24,1778,Kelas A
174,CS1286,70,21,1511,Kelas B
175,CS1287,192,20,1440,Kelas C
176,CS1288,253,17,1125,Kelas C
177,CS1289,4,19,1355,Kelas B
178,CS1290,98,20,1625,Kelas C
179,CS1291,1,15,1006,Kelas B
180,CS1292,23,17,1210,Kelas B
181,CS1293,76,21,1625,Kelas A
182,CS1294,36,30,2129,Kelas A
183,CS1295,4,22,1487,Kelas B
184,CS1296,13,21,1505,Kelas B
185,CS1297,66,12,765,Kelas D
186,CS1298,46,21,1561,Kelas B
187,CS1299,102,21,1552,Kelas C
188,CS1300,8,18,1309,Kelas B
189,CS1301,27,19,1250,Kelas B
190,CS1302,32,19,1278,Kelas B
191,CS1303,44,22,1634,Kelas A
192,CS1304,81,15,874,Kelas D
193,CS1305,107,16,1031,Kelas C
194,CS1306,5,15,1153,Kelas B
195,CS1307,75,18,1220,Kelas B
196,CS1308,20,21,1487,Kelas B
197,CS1309,66,12,761,Kelas D
198,CS1310,122,15,1103,Kelas C
199,CS1311,36,18,1129,Kelas B
200,CS1312,20,16,1353,Kelas B
201,CS1313,12,29,2072,Kelas A
202,CS1314,521,13,891,Kelas E
203,CS1315,76,15,1030,Kelas B
204,CS1316,31,26,1726,Kelas A
205,CS1317,20,16,1146,Kelas B
206,CS1318,18,22,1693,Kelas A
